1  16.7
2  5.27
3  1.65
4  0.764
5  1.23
6  1.54
7  1.26
8  1.14
9  1.39
10  1.33
11  2.39
12  2.10
13  0.615
14  0.514
15  5.27
16  2.36
17  2.68
18  4.08
19  4.64
20  2.42
21  2.61
22  2.82
